PharmGKB Accession Id	Name	Generic Names	Trade Names	Brand Mixtures	Type	Cross-references	SMILES	External Vocabulary
PA164748223	buclizine	Buclizina [INN-Spanish],Buclizine Dihydrochloride,Buclizine Hydrochloride,Buclizinum [INN-Latin],Histabutyzine Dihydrochloride,Vibazine Hydrochloride	Aphilan R,Aphilan-R Base,Bucladin,Bucladin-S,Buclifen,Buclina,Buclodin,Histabuticine,Histabutizine,Histabutyzine,Histabutyzine Hydrochloride,Hitabutyzyne,Longifene,Posdel,Postafen,Softran,Vibazine		Drug/Small Molecule	TTD:DAP001076,chebi:3205,chemSpider:6473,drugBank:DB00354,keggCompound:C07777,pubChemCompound:6729,pubChemSubstance:46507608,pubChemSubstance:9979,url:http://en.wikipedia.org/wiki/Buclizine	CC(C)(C)c1ccc(cc1)CN2CCN(CC2)C(c3ccccc3)c4ccc(cc4)Cl	ATC:R06AE(Piperazine derivatives),MeSH:C046894(buclizine)
PA164748224	vorinostat	MK0683,N-hydroxy-n'-phenyloctanediamide,N-hyrdroxy-n'-phenyloctanediamide,SAHA,SHH,Suberanilohydroxamic acid,suberoylanilide hydroxamic acid,vorinostat	Zolinza		Drug/Small Molecule	HET:SHH,TTD:DAP001082,bindingDb:19149,chemSpider:5120,drugBank:DB02546,ndc:0006-0568-40,pdb:SHH,pubChemCompound:5311,pubChemSubstance:12015019,pubChemSubstance:46508989,url:http://en.wikipedia.org/wiki/Vorinostat		MeSH:C111237(vorinostat)
PA164748302	cilazapril	inhibace			Drug/Small Molecule	TTD:DAP000912,dpd:1911465,drugBank:DB01340,pubChemCompound:56329,pubChemSubstance:193657,url:http://en.wikipedia.org/wiki/Cilazapril		ATC:C09AA(ACE inhibitors, plain)
PA164748318	xanthophyll	(3R,3'R)-Beta,Beta-Carotene-3,3'-Diol, Lutein,(3R,3'R,6'R)-Lutein,(3R,3'R,6S)-4,5-Didehydro-5,6-Dihydro-Beta,Beta-Carotene-3,3'-Diol,4,5-Didehydro-5,6-dihydro-beta,beta-carotene-3,3'-diol,All-trans-(+)-Xanthophyll,All-trans-Lutein,Carotenoid,Lutein,Lutein ester,Luteine,Phylloxanthin,Vegetable lutein,Vegetable luteol,all-trans-Xanthophyll,beta,epsilon-Carotene-3,3'-diol,trans-Lutein	Bo-Xan		Drug/Small Molecule	HET:LUT,chebi:27325,chemSpider:4519703,drugBank:DB00137,pdb:LUT,pubChemCompound:5368396,pubChemSubstance:46508835,pubChemSubstance:548587,url:http://en.wikipedia.org/wiki/Xanthophyll		
PA164748328	sertaconazole	Sertaconazol [Spanish],Sertaconazolum [Latin]	Ertaczo		Drug/Small Molecule	TTD:DAP001270,chemSpider:59273,drugBank:DB01153,ndc:0062-1650-03,pubChemCompound:65863,pubChemSubstance:207904,pubChemSubstance:46507290,url:http://en.wikipedia.org/wiki/Sertaconazole		ATC:D01AC(Imidazole and triazole derivatives),MeSH:C061131(sertaconazole)
PA164748329	marimastat	marimastat	Marimastat [Usan]		Drug/Small Molecule	HET:097,TTD:DCL000005,chebi:50662,chemSpider:106358,drugBank:DB00786,pdb:097,pubChemCompound:119031,pubChemSubstance:46505547,pubChemSubstance:695683,url:http://en.wikipedia.org/wiki/Marimastat		MeSH:C100342(marimastat)
PA164748351	minaprine	Minaprina [INN-Spanish],Minaprine Dihydrochloride,Minaprine Hydrochloride,Minaprinum [INN-Latin]	Brantur,Cantor		Drug/Small Molecule	TTD:DAP000475,chebi:51038,chemSpider:4054,drugBank:DB00805,pubChemCompound:4199,pubChemSubstance:213627,pubChemSubstance:46505380	Cc1cc(nnc1NCCN2CCOCC2)c3ccccc3	ATC:N06AX(Other antidepressants),MeSH:C006149(minaprine)
PA164748364	tositumomab	Ig gamma-1 chain C region	Bexxar		Drug/Small Molecule	TTD:DAP000384,dpd:2270471,drugBank:DB00081,genBank:J00228,ndc:0007-3260-31,uniProtKb:P01857,url:http://en.wikipedia.org/wiki/Tositumomab		ATC:V10XA(Iodine (131I) compounds)
PA164748386	droxidopa	Droxydopa,L-DOPS,L-dihydroxyphenylserine,L-threo-3,4-dihydroxyphenylserine	Dops		Drug/Small Molecule	chemSpider:391994,drugBank:DB06262,keggDrug:D01277,pubChemCompound:443940,pubChemSubstance:24560805,pubChemSubstance:99443239,url:http://en.wikipedia.org/wiki/Droxidopa	c1cc(c(cc1C(C(C(=O)O)N)O)O)O	
PA164748387	thymalfasin	Talpha1,Thymosin alpha 1,Valopicitabine,thymalfasin	Zadaxin		Drug/Small Molecule	drugBank:DB04900,pubChemCompound:16130571,pubChemSubstance:14842665	CC[C@H](C)[C@@H](C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)N)C(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)C	
PA164748388	diphemanil methylsulfate		Prantal		Drug/Small Molecule	TTD:DAP001130,chebi:59782,chemSpider:5896,dpd:176885,drugBank:DB00729,pubChemCompound:6126,pubChemSubstance:149020,pubChemSubstance:46506069		ATC:A03AB(Synthetic anticholinergics, quaternary ammonium compounds),MeSH:C028209(diphemanil methylsulfate)
PA164748389	coagulation factor viia	Coagulation factor VII precursor,Eptacog alfa,Proconvertin,SPCA,Serum prothrombin conversion accelerator	NovoSeven		Drug/Small Molecule	drugBank:DB00036,genBank:M13232,keggCompound:C03378,keggDrug:D00172,ndc:0169-7010-01,pubChemSubstance:6213,uniProtKb:P08709,url:http://en.wikipedia.org/wiki/Factor_VII		
PA164748507	trilostane	trilostane	Desopan,Modrastane,Modrenal		Drug/Small Molecule	TTD:DAP000148,chebi:32260,chemSpider:570949,drugBank:DB01108,keggDrug:D01180,pubChemCompound:656583,pubChemSubstance:46507062,pubChemSubstance:7848243,url:http://en.wikipedia.org/wiki/Trilostane		ATC:H02CA(Anticorticosteroids),MeSH:C009954(trilostane)
PA164748616	valrubicin	Antibiotic Ad 32	Valstar,Valstar Preservative Free		Drug/Small Molecule	TTD:DAP000650,chemSpider:38088,dpd:2242466,drugBank:DB00385,ndc:67979-001-01,pubChemCompound:41744,pubChemSubstance:182424,pubChemSubstance:46506642,url:http://en.wikipedia.org/wiki/Valrubicin		ATC:L01DB(Anthracyclines and related substances),MeSH:C016163(valrubicin)
PA164748617	naftifine		Naftifine HCl,Naftin		Drug/Small Molecule	TTD:DAP000752,chemSpider:66071,dpd:2011255,drugBank:DB00735,keggCompound:C08071,ndc:0259-4770-40,pubChemCompound:47641,pubChemCompound:73342,pubChemSubstance:10271,pubChemSubstance:46504777,url:http://en.wikipedia.org/wiki/Naftifine		ATC:D01AE(Other antifungals for topical use),MeSH:C029178(naftifine)
PA164748630	stepronin	Stepronine [inn-french],Stepronino [inn-spanish],Steproninum [inn-latin]	Bronco-plus,Tiase,Tiofacic		Drug/Small Molecule	chemSpider:48889,drugBank:DB01423,pubChemCompound:54120,pubChemSubstance:14799391,pubChemSubstance:46507364,url:http://en.wikipedia.org/wiki/Stepronin	CC(C(=O)NCC(=O)O)SC(=O)c1cccs1	ATC:R05CB(Mucolytics),MeSH:C035227(stepronin)
PA164748631	sargramostim	CSF,Colony-stimulating factor,GM-CSF,Granulocyte-macrophage colony-stimulating factor precursor,Molgramostin,sargramostim	Immunex,Leucomax,Leukine		Drug/Small Molecule	TTD:DAP001053,drugBank:DB00020,genBank:M13207,ndc:50419-002-33,uniProtKb:P04141,url:http://en.wikipedia.org/wiki/Sargramostim		ATC:L03AA(Colony stimulating factors)
PA164748726	entacapone	Entacapona [INN-Spanish],Entacapone [Usan:Inn],Entacaponum [INN-Latin],entacapone	Comtan,Comtess		Drug/Small Molecule	TTD:DAP000608,chebi:4798,chemSpider:4444537,dpd:2243763,drugBank:DB00494,keggCompound:C07943,keggDrug:D00781,ndc:0078-0327-05,pubChemCompound:5281081,pubChemSubstance:197051,pubChemSubstance:46508734,url:http://en.wikipedia.org/wiki/Entacapone	CCN(CC)C(=O)/C(=C/c1cc(c(c(c1)O)O)N(=O)=O)/C#N	ATC:N04BX(Other dopaminergic agents),MeSH:C071192(entacapone)
PA164748727	metipranolol	Metipranolol hydrochloride,Metipranololum [INN-Latin]	Disorat,OptiPranolol,Trimepranol		Drug/Small Molecule	TTD:DAP000480,chemSpider:29193,drugBank:DB01214,keggCompound:C07915,keggDrug:D02374,ndc:24208-275-07,pubChemCompound:31477,pubChemSubstance:10117,pubChemSubstance:46505935,url:http://en.wikipedia.org/wiki/Metipranolol	Cc1cc(c(c(c1OC(=O)C)C)C)OCC(CNC(C)C)O	ATC:S01ED(Beta blocking agents)
PA164748728	mycophenolic acid	Mycophenoic acid	Melbex,Myfortic		Drug/Small Molecule	HET:MOA,TTD:DAP000784,bindingDb:19264,chebi:168396,chemSpider:393865,dpd:2264560,drugBank:DB01024,ndc:0078-0386-66,pdb:MOA,pubChemCompound:446541,pubChemSubstance:46504559,pubChemSubstance:602720,url:http://en.wikipedia.org/wiki/Mycophenolic_acid		ATC:L04AA(Selective immunosuppressants)
PA164748741	mepivacaine	DL-Mepivacaine,Mepivacaina [INN-Spanish],Mepivacaine HCL,Mepivacainum [INN-Latin],Mepivicaine,S-Ropivacaine Mesylate,mepivacaine hydrochloride	Arestocaine HCL,Carbocain,Carbocaine,Isocaine HCL,Polocaine,Polocaine-MPF,Scandicain,Scandicaine,Scandicane,Scandonest Plain	"2% Polocaine Dental with Levonordefrin 1:20,000 (Corbadrine + Mepivacaine Hydrochloride)","Arestocaine Hcl 2% W Levonordefrin 1:20000 (Levonordefrin Hydrochloride + Mepivacaine Hydrochloride)","Carbocaine 2% Neo-Cobefrin 1:20,000 Liq (Levonordefrin Hydrochloride + Mepivacaine Hydrochloride)","Carbocaine 2% with Neo-Cobefrin (Corbadrine + Mepivacaine Hydrochloride)","Isocaine Hcl Inj 2% (Levonordefrin Hydrochloride (Levonordefrin Hydrochloride) + Mepivacaine Hydrochloride)","Mepivacaine Hcl 2% W Levonordefrin Inj (Levonordefrin Hydrochloride + Mepivacaine Hydrochloride)","Scandonest 2% Special Inj (Epinephrine + Mepivacaine Hydrochloride)",	Drug/Small Molecule	TTD:DAP001232,chebi:6759,chemSpider:3922,dpd:2271796,drugBank:DB00961,keggCompound:C07528,ndc:0186-0412-01,pubChemCompound:4062,pubChemSubstance:46507857,pubChemSubstance:9731,url:http://en.wikipedia.org/wiki/Mepivacaine		ATC:N01BB(Amides)
PA164748742	proflavine		Isoflav Base,Pro-Gen,Proflavin,Profoliol-B,Proformiphen,Profura,Progarmed,Progesic	"Triple Dye (Brilliant Green + Gentian Violet + Proflavine Hemisulfate)",	Drug/Small Molecule	HET:PRL,TTD:DAP000995,bindingDb:12590,chebi:8452,chemSpider:6832,drugBank:DB01123,keggCompound:C11181,pdb:PRL,pubChemCompound:7099,pubChemSubstance:13362,pubChemSubstance:46505401,url:http://en.wikipedia.org/wiki/Proflavine	c1cc(cc2c1cc3ccc(cc3n2)N)N	ATC:D08AA(Acridine derivatives)
PA164748758	ceftizoxime	Ceftizoxima [inn-spanish],Ceftizoximum [inn-latin]	Cefizox,Cefizox in plastic container,Ceftix,Epocelin,Eposerin		Drug/Small Molecule	TTD:DAP000453,chebi:553473,chemSpider:5018818,drugBank:DB01332,keggCompound:C06890,ndc:0469-7271-01,pubChemCompound:6533629,pubChemSubstance:11641637,pubChemSubstance:46505647,url:http://en.wikipedia.org/wiki/Ceftizoxime	CON=C(c1csc(n1)N)C(=O)N[C@H]2[C@@H]3N(C2=O)C(=CCS3)C(=O)O	ATC:J01DD(Third-generation cephalosporins)
PA164748759	clofazimine	Chlofazimine,Clofazimina [INN-Spanish],Clofaziminum [INN-Latin]	Lampren,Lamprene		Drug/Small Molecule	TTD:DAP000789,chebi:3749,drugBank:DB00845,keggCompound:C06915,keggDrug:D00278,pubChemCompound:2794,pubChemSubstance:159498,url:http://en.wikipedia.org/wiki/Clofazimine	CC(C)N=c1cc-2n(c3ccccc3nc2cc1Nc4ccc(cc4)Cl)c5ccc(cc5)Cl	ATC:J04BA(Drugs for treatment of lepra)
PA164748760	gadopentetate dimeglumine		Gadopentetic Acid Dimeglumine Salt,Magnevist		Drug/Small Molecule	chebi:31797,chemSpider:50087,dpd:1989987,drugBank:DB00789,keggDrug:D01707,ndc:50419-188-58,pubChemCompound:55466,pubChemSubstance:192903,pubChemSubstance:46504878,url:http://en.wikipedia.org/wiki/Gadopentetate_dimeglumine		ATC:V08CA(Paramagnetic contrast media)
PA164748761	metaraminol	Hydroxynorephedrine,L-Metaraminol,M-Hydroxy Norephedrine,M-Hydroxyphenylpropanolamine,M-Hydroxypropadrine,Metaraminol Bitartrate,Metaraminolum [INN-Latin],Metaraminolum [Latin]	Aramine,Icoral B,Metaradrine,Pressonex,Pressorol		Drug/Small Molecule	TTD:DAP000225,chebi:6794,chemSpider:5695,drugBank:DB00610,keggCompound:C07146,pubChemCompound:5906,pubChemSubstance:46505593,pubChemSubstance:9355,url:http://en.wikipedia.org/wiki/Metaraminol		ATC:C01CA(Adrenergic and dopaminergic agents)
PA164748762	lactulose		Acilac,Bifiteral,Cephulac,Cholac,Chronulac,Constilac,Constulose,D-Lactulose,Duphalac,Enulose,Evalose,Fructofuranose,Generlac,Heptalac,Isolactose,Kristalose,Lactulosa [INN-Spanish],Lactulosa [Spanish],Lactulose [USAN:BAN:INN:JAN],Lactulose, ~98%,Lactulosum [INN-Latin],Lactulosum [Latin],Laevolac,Lattulosio [Italian],Laxilose,Portalac		Drug/Small Molecule	chebi:6359,chemSpider:10856,dpd:690686,drugBank:DB00581,keggCompound:C07064,keggDrug:D00352,ndc:0054-8486-16,pubChemCompound:11333,pubChemSubstance:46506757,pubChemSubstance:9276,url:http://en.wikipedia.org/wiki/Lactulose		ATC:A06AD(Osmotically acting laxatives)
PA164748763	polythiazide				Drug/Small Molecule	TTD:DAP000751,chemSpider:4704,drugBank:DB01324,keggCompound:C07766,keggDrug:D00657,ndc:0069-3750-66,pubChemCompound:4870,pubChemSubstance:10475848,pubChemSubstance:46508633	CN1C(Nc2cc(c(cc2S1(=O)=O)S(=O)(=O)N)Cl)CSCC(F)(F)F	ATC:C03AA(Thiazides, plain)
PA164748764	metocurine iodide	(+)-O,O'-Dimethylchondrocurarine Di-iodide,Dimethyl Tubocurarine Iodide,Dimethyltubocurarine Iodide,Dimetiltubocurarinio, ioduro de,Metocurini Iodidum,Metokuriinijodidi,Metokurinjodid,Trimethyltubocurarine Iodide	Metubine,Metubine iodide,Mutubine Iodide		Drug/Small Molecule	TTD:DAP000824,chemSpider:22666,dpd:466948,drugBank:DB00416,keggDrug:D00761,pubChemCompound:24244,pubChemSubstance:166758,pubChemSubstance:46507773		ATC:M03AA(Curare alkaloids),MeSH:C032943(metocurine)
PA164748765	dorzolamide		Trusopt	"Cosopt (Dorzolamide (Dorzolamide Hydrochloride) + Timolol (Timolol Maleate))",	Drug/Small Molecule	TTD:DAP000775,bindingDb:50043906,chebi:4702,dpd:2216205,drugBank:DB00869,keggCompound:C06969,keggDrug:D07871,ndc:0093-7618-33,pubChemCompound:3154,pubChemSubstance:9183,url:http://en.wikipedia.org/wiki/Dorzolamide	CCN[C@H]1C[C@@H](S(=O)(=O)c2c1cc(s2)S(=O)(=O)N)C	ATC:S01EC(Carbonic anhydrase inhibitors)
PA164748781	palivizumab	Synagis,anti-RSV,palivizumab	Synagis		Drug/Small Molecule	TTD:DAP000386,dpd:2245889,drugBank:DB00110,ndc:60574-4114-1,url:http://en.wikipedia.org/wiki/Palivizumab		ATC:J06BB(Specific immunoglobulins)
PA164748782	oxamniquine		Mansil,Vansil		Drug/Small Molecule	TTD:DAP000992,chemSpider:4451,drugBank:DB01096,keggCompound:C07341,keggDrug:D00460,pubChemCompound:4612,pubChemSubstance:46508789,pubChemSubstance:9548,url:http://en.wikipedia.org/wiki/Oxamniquine	CC(C)NCC1CCc2cc(c(cc2N1)N(=O)=O)CO	ATC:P02BA(Quinoline derivatives and related substances)
PA164748783	lucanthone	1-((2-(Diethylamino)ethyl)amino)-4-methylthioxanthen-9-one,1-[[2-(Diethylamino)ethyl]amino]-4-methylthioxanthone,Lucanthon,Lucanthone hydrochloride,Lucanthone monohydrochloride,Lucanthonum [inn-latin],Lucantona [inn-spanish],lucanthone	Miracil D,Miracol,Nilodin,Scapuren,Tixantone		Drug/Small Molecule	TTD:DAP001003,chebi:51052,chemSpider:9772,drugBank:DB04967,keggCompound:C11715,pubChemCompound:10180,pubChemSubstance:11405383,pubChemSubstance:46507260		
PA164748817	efalizumab	Raptiva,anti alphaL integrin,antiCD11 alpha,efalizumab,hu1124	Raptiva		Drug/Small Molecule	TTD:DAP001095,dpd:2272504,drugBank:DB00095,url:http://en.wikipedia.org/wiki/Efalizumab		ATC:L04AA(Selective immunosuppressants)
PA164748839	glycodiazine	Glidiazine,Glymidine			Drug/Small Molecule	TTD:DAP000921,chemSpider:9190,drugBank:DB01382,pubChemCompound:9565,pubChemSubstance:152778,pubChemSubstance:46507076		MeSH:C073263(glymidine)
PA164748840	oxymetazoline	Oximetazolinum,Oxymethazoline,Oxymetozoline,oxymetazoline hydrochloride crystalline	Afrin,Afrin Cherry 12 Hour Nasal Spray,Afrin Extra Moisturizing 12 Hour Nasal Spray,Afrin Original 12 Hour Nasal Spray,Afrin Original 12 Hour Nose Drops,Afrin Original 12 Hour Pump Mist,Afrin Sinus 12 Hour Nasal Spray,Dristan Long Lasting Mentholated Nasal Spray,Dristan Long Lasting Nasal Mist,Drixoral Nasal Solution,Duramist Plus Up To 12 Hour Nasal Decongestant Spray,Duration 12 Hour Nasal Spray,Genasal Nasal Spray Up to 12 Hour Relief,Hazol,Iliadin,Nafrine,Nasal Relief 12 Hour Nasal Spray,Nasivine,Navasin,Navisin,Neo-Synephrine 12 Hour Spray,Nezeril,Nostrilla 12 Hour Nasal Decongestant,OcuClear,Oxylazine,Rhinofrenol,Rhinolitan,Sinerol,Vicks Sinex 12 Hour Nasal Spray,Vicks Sinex 12 Hour Ultra Fine Mist for Sinus Relief,Visine L.R,Visine L.R.		Drug/Small Molecule	TTD:DAP000235,bindingDb:50027075,chemSpider:4475,dpd:2245578,drugBank:DB00935,iupharLigand:124,keggCompound:C07363,ndc:42002-204-05,pubChemCompound:4636,pubChemSubstance:46505622,pubChemSubstance:9567,url:http://en.wikipedia.org/wiki/Oxymetazoline	Cc1cc(c(c(c1CC2=NCCN2)C)O)C(C)(C)C	ATC:R01AA(Sympathomimetics, plain),ATC:R01AB(Sympathomimetics, combinations excl. corticosteroids),ATC:S01GA(Sympathomimetics used as decongestants)
PA164748865	vecuronium				Drug/Small Molecule	TTD:DAP000354,chebi:9939,chemSpider:36357,dpd:687405,drugBank:DB01339,keggCompound:C07553,pubChemCompound:39764,pubChemCompound:39765,pubChemSubstance:12013268,pubChemSubstance:46507656,url:http://en.wikipedia.org/wiki/Vecuronium		ATC:M03AC(Other quaternary ammonium compounds)
PA164748866	apraclonidine	Apraclonidina [INN-Spanish],Apraclonidinum [INN-Latin],P-Aminoclonidine Hydrochloride,apraclonidine hydrochloride	Aplonidine,Iopidine,Iopidine Eye		Drug/Small Molecule	TTD:DAP000236,bindingDb:50021812,chebi:2788,chemSpider:2130,dpd:2076306,drugBank:DB00964,keggCompound:C07668,ndc:0065-0665-05,pubChemCompound:2216,pubChemSubstance:46505614,pubChemSubstance:9870,url:http://en.wikipedia.org/wiki/Apraclonidine		ATC:S01EA(Sympathomimetics in glaucoma therapy),MeSH:C016986(apraclonidine)
PA164748867	bimatoprost	AGN 192024,bimatoprost	Lumigan		Drug/Small Molecule	HET:15M,TTD:DAP001217,chebi:51230,chemSpider:4470565,dpd:2245860,drugBank:DB00905,iupharLigand:1958,ndc:0023-3616-03,pdb:15M,pubChemCompound:5311027,pubChemSubstance:46505334,pubChemSubstance:7978793,url:http://en.wikipedia.org/wiki/Bimatoprost		ATC:S01EE(Prostaglandin analogues),MeSH:C420823(bimatoprost)
PA164748880	paramethadione		Isoethadione,Paradione,Parametadiona [INN-Spanish],Parametadione,Parametadione [DCIT],Paramethadione [BAN:INN],Paramethadionum [INN-Latin]		Drug/Small Molecule	TTD:DAP001266,chemSpider:7979,drugBank:DB00617,keggCompound:C07411,keggDrug:D00495,pubChemCompound:8280,pubChemSubstance:46509173,pubChemSubstance:9615,url:http://en.wikipedia.org/wiki/Paramethadione		ATC:N03AC(Oxazolidine derivatives),MeSH:C005731(paramethadione)
PA164748881	benzyl benzoate		Ascabin,Ascabiol,Benylate,Benzoic acid benzyl ester,Benzoic acid, benzyl ester,Benzoic acid, phenylmethyl ester,Benzyl alcohol benzoic ester,Benzyl benzenecarboxylate,Benzyl ester,Benzyl phenylformate,Benzylester kyseliny benzoove,Benzylets,Colebenz,Novoscabin,Peruscabin,Scabagen,Scabanca,Scabide,Scabiozon,Scabitox,Scobenol,Vanzoate,Venzoate,Venzonate	"Benzyl benzoate 99+ %","Dermadex Crm (Benzoic Acid + Benzyl Benzoate + Lindane + Salicylic Acid + Zinc Oxide + Zinc Undecylenate)",	Drug/Small Molecule	chemSpider:13856959,drugBank:DB00676,keggDrug:D01138,pubChemCompound:2345,pubChemSubstance:46508023,url:http://en.wikipedia.org/wiki/Benzyl_Benzoate	c1ccc(cc1)COC(=O)c2ccccc2	ATC:P03AX(Other ectoparasiticides, incl. scabicides),MeSH:C006723(benzyl benzoate)
PA164748882	thiethylperazine	Ethylthioperazine,Theithylperazine	Norzine,Torecan		Drug/Small Molecule	TTD:DAP000315,chebi:9544,chemSpider:5245,drugBank:DB00372,keggCompound:C07132,keggDrug:D02354,pubChemCompound:5440,pubChemSubstance:46506502,pubChemSubstance:618292,url:http://en.wikipedia.org/wiki/Thiethylperazine	CCSc1ccc2c(c1)N(c3ccccc3S2)CCCN4CCN(CC4)C	ATC:R06AD(Phenothiazine derivatives)
PA164748883	diethylcarbamazine	Carbamazine,Carbilazine,Diethyl carbamazine,Ditrazine base,Ethodryl	Banocide,Bitirazine,Caracide,Caricide,Cypip,Decacide,Hetrazan,Notezine,Spatonin	"Filaribits Plus 180/136mg Chewable Tablet (Diethylcarbamazine citrate + Oxibendazole)",	Drug/Small Molecule	TTD:DAP000914,bindingDb:50024883,chemSpider:2944,dpd:346667,drugBank:DB00711,keggCompound:C07968,keggDrug:D00803,pubChemCompound:3052,pubChemSubstance:10169,pubChemSubstance:46506830,url:http://en.wikipedia.org/wiki/Diethylcarbamazine		ATC:P02CB(Piperazine and derivatives)
PA164748908	procaterol		Pro-Air		Drug/Small Molecule	TTD:DAP000944,chemSpider:599984,drugBank:DB01366,pubChemCompound:688561,pubChemSubstance:11113915,pubChemSubstance:46507907	CCC(C(c1ccc(c2c1ccc(=O)[nH]2)O)O)NC(C)C	ATC:R03AC(Selective beta-2-adrenoreceptor agonists),ATC:R03CC(Selective beta-2-adrenoreceptor agonists)
PA164748933	isoflurophate	DFP,Diflupyl,Diflurophate,Diisopropoxyphosphoryl Fluoride	Diisopropyl Fluoridophosphate,Diisopropyl Fluorophosphate,Diisopropyl Fluorophosphonate,Diisopropyl Phosphofluoridate,Diisopropyl Phosphorofluoridate,Diisopropylfluorfosfat,Disiopropyl Fluorophosphonate,Dyflos,Floropryl,Fluorodiisopropyl Phosphate,Fluoropryl,Fluostigmine,Fluropryl,Humorsol,Isofluorophate,Isofluorphate,Isoflurophosphate,Isopropyl Fluophosphate,Isopropyl Phosphorofluoridate,Neoglaucit,O,O-Diisopropyl Fluorophosphate,PF-3		Drug/Small Molecule	TTD:DAP000896,chebi:17941,chemSpider:5723,drugBank:DB00677,keggCompound:C00202,keggDrug:D00043,pubChemCompound:5936,pubChemSubstance:3502,pubChemSubstance:46504499,url:http://en.wikipedia.org/wiki/Isoflurophate		
PA164748964	sulfisoxazole	Sulfadimethylisoxazole,Sulfafurazol,Sulfafurazole,Sulfaisoxazole,Sulfasoxazole,Sulfisonazole,Sulfisoxasole,Sulfisoxazol,Sulfisoxazole Dialamine,Sulfisoxazole Diolamine,Sulfofurazole,Sulphafurazol,Sulphafurazole,Sulphafurazolum,Sulphaisoxazole,Sulphisoxazol,Sulphofurazole	Accuzole,Alphazole,Amidoxal,Astrazolo,Azo Gantrisin,Azosulfizin,Bactesulf,Barazae,Chemouag,Cosoxazole,Dorsulfan,Dorsulfan Warthausen,Entusil,Entusul,G-Sox,Ganda,Gantrisin,Gantrisine,Gantrisona,Gantrosan,Isoxamin,J-Sul,Koro-Sulf,Neazolin,Neoxazol,Norilgan-S,Novazolo,Novosaxazole,Pancid,Renosulfan,Resoxol,Roxosul,Roxosul Tablets,Roxoxol,SI,Saxosozine,Sk-Soxazole,Sodizole,Sosol,Soxamide,Soxazole,Soxisol,Soxitabs,Soxo,Soxomide,Stansin,Sulbio,Sulfagan,Sulfagen,Sulfalar,Sulfapolar,Sulfasan,Sulfasol,Sulfazin,Sulfisin,Sulfizin,Sulfizol,Sulfizole,Sulfoxol,Suloxsol,Sulphafuraz,Sulsoxin,Thiasin,Tl-Azole,Unisulf,Urisoxin,Uritrisin,Urogan,V-Sul,Vagilia	"Pediazole (Erythromycin (Erythromycin Ethylsuccinate) + Sulfisoxazole Acetyl)","Renazone Plus Tab (Ammonium Chloride + Atropine Sulfate + Hyoscyamine Hydrobromide + Scopolamine Hydrobromide + Sulfisoxazole)",	Drug/Small Molecule	TTD:DAP001203,bindingDb:50034452,chebi:102484,chemSpider:5151,dpd:363774,drugBank:DB00263,keggCompound:C07318,keggDrug:D00450,ndc:0004-1003-28,pubChemCompound:5344,pubChemSubstance:46505342,pubChemSubstance:9526,url:http://en.wikipedia.org/wiki/Sulfisoxazole	Cc1c(noc1NS(=O)(=O)c2ccc(cc2)N)C	ATC:J01EB(Short-acting sulfonamides)
